ClientNr,Vestiging,Leeftijd,Geslacht,Lengte,Gewicht
1212827186665530000,Maastricht,55,Man,NULL,NULL
1753784713290280000,Sittard-Geleen,29,Man,NULL,NULL
-5987031528565520000,Heerlen,66,Vrouw,NULL,NULL
-4109391284733040000,Sittard-Geleen,49,Vrouw,NULL,NULL
-8519225766541600000,Roermond,29,Vrouw,NULL,NULL
4090854505891730000,Heerlen,51,Man,NULL,NULL
12934803390945600,Maastricht,34,Vrouw,NULL,NULL
-5945422258605310000,Roermond,62,Vrouw,NULL,NULL
-3613818087905220000,Eindhoven,45,Vrouw,NULL,NULL
2518620798860220000,Heerlen,39,Man,NULL,NULL
-6436886492551050000,Roermond,51,Vrouw,NULL,NULL
2694172133043910000,Sittard-Geleen,48,Vrouw,NULL,NULL
8396065205064900000,Maastricht,48,Vrouw,NULL,NULL
-1978829740620590000,Eindhoven,35,Vrouw,NULL,NULL
2042712102988770000,Sittard-Geleen,54,Man,NULL,NULL
-4658043086596370000,Sittard-Geleen,33,Vrouw,NULL,NULL
-5678900334239100000,Heerlen,34,Vrouw,NULL,NULL
4697955072328970000,Sittard-Geleen,39,Man,NULL,NULL
5266385454542550000,Heerlen,55,Man,NULL,NULL
5258603078019790000,Sittard-Geleen,50,Man,NULL,NULL
7588611293418130000,Sittard-Geleen,48,Vrouw,NULL,NULL
1296707292287410000,Maastricht,38,Vrouw,NULL,NULL
-970372901680302000,Maastricht,50,Vrouw,NULL,NULL
5763216058640390000,Roermond,43,Vrouw,NULL,NULL
8629045081140590000,Heerlen,32,Vrouw,NULL,NULL
6198594440781980000,Eindhoven,38,Man,NULL,NULL
6224934711392550000,Roermond,49,Man,NULL,NULL
6838070810225020000,Roermond,55,Man,NULL,NULL
-8602229470443780000,Roermond,67,Man,NULL,NULL
-1088958867803280000,Sittard-Geleen,53,Vrouw,NULL,NULL
4944648097750680000,Maastricht,28,Man,NULL,NULL
-6573268508965320000,Roermond,44,Vrouw,NULL,NULL
-2009542274630150000,Eindhoven,50,Vrouw,NULL,NULL
-2267697612364630000,Heerlen,27,Vrouw,NULL,NULL
-5312992616348830000,Heerlen,63,Vrouw,NULL,NULL
-59018993948050800,Heerlen,51,Man,NULL,NULL
5050109002888230000,Maastricht,31,Vrouw,NULL,NULL
4092352348487990000,Maastricht,24,Man,NULL,NULL
1816426211460810000,Sittard-Geleen,30,Vrouw,NULL,NULL
8728998164479230000,Maastricht,44,Vrouw,NULL,NULL
-7454579563314740000,Sittard-Geleen,55,Vrouw,NULL,NULL
4638065224733230000,Eindhoven,29,Man,NULL,NULL
3315788598863820000,Roermond,52,Vrouw,NULL,NULL
-6746963300284880000,Heerlen,49,Vrouw,NULL,NULL
3428079280574450000,Maastricht,45,Vrouw,NULL,NULL
-4239892777612440000,Sittard-Geleen,29,Vrouw,NULL,NULL
8075724863027670000,Roermond,54,Man,NULL,NULL
-4947432569743360000,Eindhoven,58,Vrouw,NULL,NULL
6635785252622360000,Heerlen,45,Man,NULL,NULL
-260897613589275000,Roermond,50,Man,NULL,NULL
3017246932997210000,Maastricht,37,Vrouw,NULL,NULL
462939628230503000,Sittard-Geleen,47,Vrouw,NULL,NULL
6687866238543460000,Roermond,43,Vrouw,NULL,NULL
-3008567359028000000,Sittard-Geleen,48,Man,NULL,NULL
-3345134070902350000,Heerlen,56,Man,NULL,NULL
8662662774501530000,Maastricht,28,Vrouw,NULL,NULL
-7531477654723350000,Heerlen,52,Man,NULL,NULL
7592906625900250000,Heerlen,56,Vrouw,NULL,NULL
-2976245899218260000,Roermond,50,Man,NULL,NULL
4307148659817170000,Heerlen,62,Man,NULL,NULL
-1674401228879340000,Maastricht,58,Vrouw,NULL,NULL
-3908580371606820000,Heerlen,52,Man,NULL,NULL
-4254144308640370000,Sittard-Geleen,51,Vrouw,NULL,NULL
-2034837856981760000,Roermond,43,Vrouw,NULL,NULL
5299334677504190000,Sittard-Geleen,31,Vrouw,NULL,NULL
-7787697129130350000,Heerlen,51,Vrouw,NULL,NULL
-8037440233224930000,Maastricht,24,Man,NULL,NULL
-1215381835321200000,Maastricht,33,Vrouw,NULL,NULL
7681786121280800000,Eindhoven,49,Vrouw,NULL,NULL
5990418893940830000,Maastricht,51,Vrouw,NULL,NULL
4901704831127950000,Eindhoven,20,Vrouw,NULL,NULL
-6898662074276590000,Roermond,65,Man,NULL,NULL
4811268333449620000,Eindhoven,38,Vrouw,NULL,NULL
3025494709789990000,Eindhoven,50,Vrouw,NULL,NULL
-2366691264310120000,Heerlen,39,Vrouw,NULL,NULL
-7187378247959100000,Sittard-Geleen,61,Man,NULL,NULL
5980885524606220000,Roermond,47,Man,NULL,NULL
-5879213858247990000,Roermond,56,Vrouw,NULL,NULL
4379503633074260000,Maastricht,26,Man,NULL,NULL
-4086191072466170000,Maastricht,56,Man,NULL,NULL
-3579734176892010000,Heerlen,49,Man,NULL,NULL
-7359487202781710000,Maastricht,27,Vrouw,NULL,NULL
-3702379140880320000,Heerlen,44,Vrouw,NULL,NULL
8876609082675420000,Sittard-Geleen,53,Man,NULL,NULL
-82878841737008600,Maastricht,33,Vrouw,NULL,NULL
-709509526064231000,Maastricht,49,Vrouw,NULL,NULL
4764462979204380000,Eindhoven,29,Man,NULL,NULL
1388725769468250000,Sittard-Geleen,44,Vrouw,NULL,NULL
1820278829620380000,Eindhoven,43,Man,NULL,NULL
-1674386303850830000,Eindhoven,39,Man,NULL,NULL
99161558773182500,Maastricht,40,Man,NULL,NULL
7116480075398530000,Roermond,60,Man,NULL,NULL
-7903093852575290000,Eindhoven,57,Man,NULL,NULL
8834333005786370000,Sittard-Geleen,57,Vrouw,NULL,NULL
2875198979164820000,Roermond,49,Man,NULL,NULL
8871843255433980000,Heerlen,56,Vrouw,NULL,NULL
